article_url,title,date,time,section,author,excerpt,text_body,feat_img_link,feat_img_cation
https://www.naftemporiki.gr/kosmos/1958205/entoni-antidrasi-tis-airbnb-stin-apofasi-tis-ispanikis-kyvernisis-gia-apokathilosi-diafimiseon/,Έντονη αντίδραση της Airbnb στην απόφαση της ισπανικής κυβέρνησης για «αποκαθήλωση» διαφημίσεων,2025-05-19,18:23:19,Κόσμος,,"Η ισπανική κυβέρνηση ζήτησε από την Airbnb να αφαιρέσει περισσότερες από 65.000 καταχωρίσεις τουριστικών καταλυμάτων από την πλατφόρμα της, λέγοντας ότι παραβιάζουν τον νόμο περί διαφήμισης.","«Η Airbnb πρέπει να αφαιρέσει συνολικά 65.935 διαφημίσεις που θεωρούνται παράνομες», ανέφερε σε ανακοίνωσή της η Γενική Διεύθυνση Καταναλωτικών Υποθέσεων (DGC). Αυτές οι διαφημίσεις, σύμφωνα με την κυβέρνηση του Πέδρο Σάντσεθ, είναι παράνομες επειδή δεν αναφέρουν τον αριθμό άδειας κατοικίας, ούτε προσδιορίζουν τη νομική φύση των ιδιοκτητών ακινήτων, όπως απαιτείται από τον νόμο. Η Airbnb αντέδρασε πάντως, ανακοινώνοντας ότι  «θα συνεχίσει να ασκεί έφεση κατά των αποφάσεων επί του θέματος». Η πολυεθνική υποστηρίζει ότι η Γενική Διεύθυνση Καταναλωτικών Υποθέσεων «δεν είναι  αρμόδια να επιβάλει τους κανονισμούς σχετικά με τα τουριστικά καταλύματα». Σύμφωνα με τα τελευταία στοιχεία του Εθνικού Ινστιτούτου Στατιστικής στη Μαδρίτη, σε ολόκληρη την Ισπανία υπάρχουν 368.000 καταλύματα βραχυχρόνιας μίσθωσης Η κριτική κατά των φορέων βραχυχρόνιας μίσθωσης  τουριστικών καταλυμάτων έχει αυξηθεί τους τελευταίους μήνες στην Ισπανία, καθώς οι διάφορες πλατφόρμες κατηγορούνται ότι τροφοδοτούν την κλιμάκωση των τιμών ενοικίασης στις μεγάλες πόλεις και μειώνουν τον αριθμό των κατοικιών που είναι διαθέσιμες στους κατοίκους. Σε μια προσπάθεια να κατευνάσει την οργή των κατοίκων της Βαρκελώνης, η δημοτική αρχή της πόλης ανακοίνωσε πέρυσι την πρόθεσή της να ανακαλέσει τις άδειες σχεδόν 10.000 τουριστικών διαμερισμάτων βραχυχρόνιας μίσθωσης, μέχρι το τέλος του 2028. Στη Μάλαγα, η δημοτική αρχή απαγόρευσε επίσης την κατασκευή νέων κατοικιών για βραχυχρόνια , τουριστική μίσθωση σε 43 γειτονιές της πόλης. ",https://www.naftemporiki.gr/wp-content/themes/naftemporiki/images/N.PNG,Η Airbnb αντέδρασε ανακοινώνοντας ότι  «θα συνεχίσει να ασκεί έφεση κατά των αποφάσεων επί του θέματος
https://www.naftemporiki.gr/finance/world/1958013/ispania-mploko-tis-kyvernisis-se-perissoteres-apo-65-000-katachoriseis-sto-airbnb/,Ισπανία: «Μπλόκο» της κυβέρνησης σε περισσότερες από 65.000 καταχωρίσεις στο Airbnb,2025-05-19,14:30:58,Οικονομία & Αγορές                \Διεθνή,,"Η Ισπανία διέταξε την Airbnb να αποσύρει περισσότερες από 65.000 καταχωρίσεις για ενοικιάσεις διακοπών που παραβιάζουν τους υφιστάμενους κανόνες από την πλατφόρμα της, ως μέρος μιας γενικής καταστολής της επιχείρησης που κατηγορείται ότι συνέβαλε στην κρίση στέγασης στη χώρα.","Οι περισσότερες από τις καταχωρίσεις της Airbnb που πρόκειται να αποκλειστούν, δεν περιλαμβάνουν τον αριθμό της άδειας τους, ενώ άλλες δεν διευκρινίζουν εάν ο ιδιοκτήτης ήταν φυσικό πρόσωπο ή εταιρεία, ανέφερε το Υπουργείο Καταναλωτών σε δήλωση τη Δευτέρα. Ο υπουργός Καταναλωτών Πάμπλο Μουστιντέι είπε ότι στόχος του ήταν να τερματιστεί η γενική «έλλειψη ελέγχου» και η «παρανομία» στην επιχείρηση ενοικίασης διακοπών. «Όχι άλλες δικαιολογίες. Αρκετά με την προστασία αυτών που κάνουν επιχειρείν ενάντια στο δικαίωμα στη στέγαση στη χώρα μας», είπε στους δημοσιογράφους. Η ισπανική κυβέρνηση, καθώς και τα δημοτικά συμβούλια και οι περιφερειακές αρχές, έχουν ξεκινήσει μια γενική καταστολή των τουριστικών ενοικιάσεων μέσω ιστοτόπων όπως η Airbnb και η Booking.com, που πολλοί Ισπανοί λένε ότι δημιουργούν υπερβολικό τουρισμό, μειώνουν την προσφορά κατοικιών και καθιστούν την ενοικίαση αδύνατη για πολλούς ντόπιους. Η στέγαση έχει γίνει μείζον ζήτημα στην Ισπανία, καθώς οι κατασκευές απέτυχαν να συμβαδίσουν με τη ζήτηση από τότε που έσκασε μια κατασκευαστική φούσκα πριν από περισσότερα από 15 χρόνια. Σύμφωνα με επίσημα στοιχεία, υπήρχαν περίπου 321.000 σπίτια με άδειες ενοικίασης διακοπών στην Ισπανία τον περασμένο Νοέμβριο, 15% περισσότερα από το 2020. Πολλά περισσότερα λειτουργούν χωρίς επίσημες άδειες. Το Υπουργείο Δικαιωμάτων των Καταναλωτών ξεκίνησε έρευνα για την Airbnb τον Δεκέμβριο. Ένας εκπρόσωπος της Airbnb δεν απάντησε αμέσως σε αίτημα για σχόλιο τη Δευτέρα. Τον Δεκέμβριο, η εταιρεία είπε ότι πάντα ζητούσε από τους οικοδεσπότες να επιβεβαιώσουν ότι έχουν άδεια να νοικιάσουν τις θέσεις τους και ότι συμμορφώνονται με όλους τους τοπικούς κανόνες. Η εταιρεία είπε επίσης ότι το υπουργείο απέτυχε να παράσχει λίστες με μη συμμορφούμενα καταλύματα και ότι πολλοί ιδιοκτήτες δεν χρειάζονται άδεια για να νοικιάσουν την ιδιοκτησία τους. Η εταιρεία είπε ότι το υπουργείο δεν είχε την εξουσία να εκδίδει αποφάσεις σχετικά με τις βραχυπρόθεσμες ενοικιάσεις και αγνόησε τις δικαστικές αποφάσεις που προσδιορίζουν ότι η Airbnb ήταν ψηφιακή και όχι εταιρεία ακινήτων. Ο Μπουστιντέι είπε ότι η απόφαση της Δευτέρας είχε την υποστήριξη του ανώτατου δικαστηρίου της Μαδρίτης. Τον Ιανουάριο, ο πρωθυπουργός Πέδρο Σάντσεθ παρουσίασε ένα σχέδιο για αύξηση των φόρων στα εισοδήματα από ενοίκια διακοπών μέσω πλατφορμών. Ο δήμαρχος της Βαρκελώνης Ζάουμε Κολλμπόνι έκανε την πιο σκληρή κίνηση της Ισπανίας μέχρι στιγμής τον περασμένο Ιούνιο, όταν διέταξε την πλήρη απαγόρευση των τουριστικών ενοικιάσεων έως το 2028. Άλλες ευρωπαϊκές χώρες, όπως η Κροατία και η Ιταλία, έχουν επίσης δράσει για να επιβραδύνουν τις επιχειρήσεις ενοικίασης διακοπών. Πηγή: Reuters ",https://www.naftemporiki.gr/wp-content/themes/naftemporiki/images/N.PNG,"Η ισπανική κυβέρνηση, καθώς και τα δημοτικά συμβούλια, έχουν ξεκινήσει μια γενική καταστολή των τουριστικών ενοικιάσεων μέσω ιστοτόπων"
https://www.naftemporiki.gr/english/1950055/theodoridis-on-n-tv-airbnb-can-contribute-to-solving-the-housing-problem/,Theodoridis on “N” TV: Airbnb can contribute to solving the housing problem,2025-04-29,10:09:32,English,,"“The measure for the return of a rent that the government announced is the smartest one it has taken,” emphasized the president of the European Federation of Real Estate Agents and Secretary General of the Attica Real Estate Agents Association, Kosmas Theodoridis, speaking on Naftemporiki TV.","“It is a measure that will bring revenue to the state coffers and will relieve people who need it,” he added regarding the measure announced by the government for tenants. Asked about the rising property prices, Theodoridis pointed out that “they depend on growth, liquidity, and unemployment.” These three factors contribute to higher prices. On the housing issue in Greece, the President of the European Federation of Real Estate Agents stated that the structural problem must be addressed. Greece is faced with the abandonment of rural areas, as opportunities are few and infrastructure is nearly nonexistent. He also emphasized that “the housing crisis is related to the problem of supply.” Finally, as far as Airbnb is concerned, he commented that Airbnb can contribute to solving the housing problem, with renovated apartments, which can be rented long-term instead of short-term. ",https://www.naftemporiki.gr/wp-content/themes/naftemporiki/images/N.PNG,"He commented that Airbnb can contribute to solving the housing problem, with renovated apartments, which can be rented long-term instead of short-term"
https://www.naftemporiki.gr/finance/economy/1949907/k-theodoridis-sto-naftemporiki-tv-ta-airbnb-mporoyn-na-symvalloyn-sti-lysi-toy-stegastikoy-provlimatos/,Κ. Θεοδωρίδης στο Naftemporiki TV: Tα Airbnb μπορούν να συμβάλλουν στη λύση του στεγαστικού προβλήματος,2025-04-28,20:06:08,Οικονομία & Αγορές                \Οικονομία,,"«Το μέτρο για την επιστροφή ενός ενοικίου που ανακοίνωσε η κυβέρνηση είναι το πιο έξυπνο που έχει λάβει», τόνισε ο πρόεδρος της Ευρωπαϊκής Ομοσπονδίας Μεσιτών Ακινήτων και Γενικός Γραμματέας του Συλλόγου Μεσιτών Αττικής, Κοσμάς Θεοδωρίδης, μιλώντας στην τηλεόραση της Ναυτεμπορικής και στην εκπομπή In Business με την Μαρία Σμιλίδου, στο πλαίσιο της συζήτησης για το στεγαστικό πρόβλημα.","«Είναι ένα μέτρο που θα φέρει έσοδα στα ταμεία και θα ανακουφίσει ανθρώπους που χρειάζονται αυτή την ανακούφιση», πρόσθεσε για το μέτρο που ανακοίνωσε η κυβέρνηση για τους ενοικιαστές. Όσον αφορά στις αυξανόμενες τιμές των ακινήτων, ο Κοσμάς Θεοδωρίδης επισήμανε ότι «εξαρτώνται από την ανάπτυξη, από την ρευστότητα και την ανεργία», αυτά τα τρία στοιχεία διαμορφώνουν υψηλότερες τιμές. Για το πρόβλημα του στεγαστικού στην Ελλάδα ο Πρόεδρος της Ευρωπαϊκής Ομοσπονδίας Μεσιτών Ακινήτων ανέφερε πως η πρέπει να αντιμετωπιστεί το δομικό πρόβλημα και όχι τα παρακλάδια του, η Ελλάδα είναι αντιμέτωπη με την εγκατάλειψη της περιφέρειας, καθώς οι ευκαιρίες είναι ελάχιστες και οι υποδομές σχεδόν ανύπαρκτες, αλλά επιπλέον τόνισε ότι «το πρόβλημα της στεγαστικής κρίσης είναι πρόβλημα προσφοράς». Τέλος, όσον αφορά στα Airbnb, σχολίασε ότι τα Airbnb μπορούν να συμβάλλουν στη λύση του στεγαστικού προβλήματος, με ανακαινισμένα διαμερίσματα, τα οποία από βραχυχρόνια μίσθωση μπορούν να ενοικιαστούν μακροχρόνια.  ",https://www.naftemporiki.gr/wp-content/themes/naftemporiki/images/N.PNG,Για το στεγαστικό ζήτημα μίλησε στη «Ν» ο κ. Θεοδωρίδης
https://www.naftemporiki.gr/finance/economy/1947691/ste-paranomi-i-egkyklios-tis-aade-gia-ti-forologisi-ton-airbnb/,ΣτΕ: Παράνομο το τέλος επιτηδεύματος στα Airbnb – Η Ολομέλεια την τελική κρίση,2025-04-22,17:10:42,Οικονομία & Αγορές                \Οικονομία,,"Παράνομη και ανυπόστατη έκρινε το Β΄ Τμήμα του Συμβουλίου της Επικρατείας (αριθμ. 601/2025 απόφαση) την από 9.4.2024 εγκύκλιο της Ανεξάρτητη Αρχή Δημοσίων Εσόδων, που αφορά στη φορολογική μεταχείριση των βραχυχρόνιων μισθώσεων ακινήτων (Airbnb), ως προς το σκέλος που προβλέπει την επιβολή αυτοτελούς τέλους επιτηδεύματος στις βραχυχρόνιες μισθώσεις ακινήτων.","Ωστόσο, λόγω της σπουδαιότητάς του, το θέμα παραπέμφθηκε στην Ολομέλεια του ΣτΕ προς τελική κρίση. Ειδικότερα, στο ΣτΕ είχαν προσφύγει η ΠΟΜΙΔΑ, ο «Σύνδεσμος Εταιρειών Βραχυχρόνιας Μίσθωσης Ακινήτων» και πέντε εταιρείες βραχυχρόνιας μίσθωσης ακινήτων και ζητούσαν να ακυρωθεί η υπ’ αριθμ. Ε2024/9.4.24 εγκύκλιος της ΑΑΔΕ με την οποία παρέχονται διευκρινίσεις αναφορικά με τη φορολογική μεταχείριση, από πλευράς φορολογίας εισοδήματος, ΦΠΑ και λοιπών εμμέσων φόρων και τελών, των βραχυχρόνιων μισθώσεων (Airbnb, κ.λπ.). Οι προσφεύγοντες υποστήριζαν, μεταξύ των άλλων, ότι από την εφαρμογή της εγκυκλίου πλήττονται άμεσα ή έμμεσα οι ιδιοκτήτες ή οι επικαρπωτές ακινήτων που ασχολούνται με τη διαχείριση των βραχυχρόνιων μισθώσεων των ακινήτων τους, καθώς υποχρεούνται να καταβάλλουν αυτοτελές τέλος επιτηδεύματος για καθένα από τα ακίνητά τους. H 7μελής σύνθεση του Β΄ Τμήμα του ΣτΕ, με πρόεδρο τον αντιπρόεδρο Κωνσταντίνο Κουσούλη και εισηγητή τον πάρεδρο Χρήστο Νέγρη, αναφέρει ότι η προσβαλλόμενη εγκύκλιος, η οποία «έχει κανονιστικό χαρακτήρα», δεν έχει δημοσιευθεί στην Εφημερίδα της Κυβερνήσεως, αλλά έχει αναρτηθεί μόνο στο διαδίκτυο (Διαύγεια) και έχει τεθεί σε εφαρμογή, «επομένως είναι μη νόμιμη, ανυπόστατη και ακυρωτέα για λόγους ασφαλείας δικαίου», όπως βάσιμα προβάλλουν οι προσφεύγοντες. Έτσι, κατά τη γνώμη που επικράτησε στο Β΄ Τμήμα του ΣτΕ, οι αιτήσεις ακύρωσης έπρεπε να γίνουν δεκτές και να ακυρωθεί η προσβαλλόμενη εγκύκλιος, «κατά τα βασίμως προβαλλόμενα», αλλά λόγω της σπουδαιότητας του όλου θέματος, παραπέμφθηκε προς οριστική κρίση στην Ολομέλεια του ΣτΕ και ορίστηκε εισηγήτρια η σύμβουλος Επικρατείας η Ευσταθία Σκούρα. Πηγή: ΑΠΕ-ΜΠΕ ",https://www.naftemporiki.gr/wp-content/themes/naftemporiki/images/N.PNG,Τι αποφάσισε για τη σχετική εγκύκλιο της ΑΑΔΕ το Β΄ Τμήμα του ΣτΕ
https://www.naftemporiki.gr/finance/economy/1940313/ste-syzitithike-i-aitisi-katoikon-tis-plakas-na-sfragistei-akinito-poy-chrisimopoieitai-os-airbnb/,ΣτΕ: Συζητήθηκε η αίτηση κατοίκων της Πλάκας για το εάν επιτρέπεται η λειτουργία Airbnb στην περιοχή,2025-04-02,17:55:39,Οικονομία & Αγορές                \Οικονομία,,"Ενώπιον της επταμελούς σύνθεσης του Συμβουλίου της Επικρατείας συζητήθηκε το καθεστώς των Airbnb στην περιοχή της Πλάκας στην Αθήνα, η οποία έχει χαρακτηριστεί παραδοσιακός προστατευμένος οικισμός.","Οι Σύμβουλοι της Επικρατείας καλούνται να αποφανθούν για το εάν ένα ακίνητο στο πλαίσιο των βραχυχρόνιων μισθώσεων (Airbnb) αποτελεί χρήση κατοικίας ή τουριστική χρήση κατά το πολεοδομικό δίκαιο. Στο Ανώτατο Ακυρωτικό Δικαστήριο είχε προσφύγει η Ελληνική Εταιρεία Περιβάλλοντος & Πολιτισμού, καθώς είχε απορριφθεί από την υπηρεσία δόμησης του Δήμου Αθηναίων να σφραγιστούν ακίνητα με βραχυχρόνια μίσθωση στην περιοχή της Πλάκας, υποστηρίζοντας ότι η χρήση τους είναι τουριστική, κάτι που δεν επιτρέπεται σύμφωνα με το ειδικό πολεοδομικό καθεστώς που ισχύει εκεί. Ο Δήμος Αθηναίων αρνήθηκε να σφραγίσει τα ακίνητα με το σκεπτικό ότι από καμία διάταξη νόμου δεν προβλέπεται ότι η χρήση ακινήτου airbnb είναι τουριστική. ",https://www.naftemporiki.gr/wp-content/themes/naftemporiki/images/N.PNG,Οι κάτοικοι υποστηρίζουν ότι ο νόμος δεν επιτρέπει τουριστική χρήση ακινήτων
https://www.naftemporiki.gr/english/1938243/the-danish-competitor-to-airbnb-is-about-to-join-the-athens-stock-exchange/,The Danish “competitor” to Airbnb is about to join the Athens Stock Exchange,2025-03-28,08:21:53,English,,"The founder and CEO of Danish Sanders Stay, Bo Sander, seeks to enter the Athens stock exchange, confirming the recent upward trend of IPOs.","The company, operating in short-term rental market, seems to be steadily gaining ground, with Greece being the next big bet, in the effort to “grow” even more. The Sanders Stay project began in 2017, with Bo Sander’s birthplace, namely Denmark – and specifically Copenhagen – as its starting point.
After overcoming the hurdle of the coronavirus pandemic, it gradually managed to take the first steps towards expansion in the Mediterranean, taking advantage of the “inflated” tourist flow of the Iberian Peninsula (Spain – Portugal), but also Cyprus. In the following years, Greece followed, where at the moment, of course, it has a minimal presence. However, this is expected to change in the near future. Bo Sander’s business model differs from the classic and usual short-term rentals like Airbnb, as on the one hand, control of the property belongs to him, that is, to his company, and not to individual owners, and on the other hand, he offers 4-star hotel services. This particular model, of course, requires more capital for development. Hence the desire to list on Athens stock exchange, with the main aim of financing the development strategy but also finding “competitors.” He has the know-how, as he has a lot of experience in the hospitality and investment sectors. Before Sanders Stay, he had founded two other companies, Nordic Housing and Nordic Investment, which specialized in the real estate and investment sectors respectively. He also worked as a manager at Housing Denmark in 2014, and has worked for several companies in his country, such as Renovea, Scandia Housing, Netpointers, Scandico, etc.
It remains to be seen what exactly he will achieve in Greece. ",https://www.naftemporiki.gr/wp-content/themes/naftemporiki/images/N.PNG,"The company, operating in short-term rental market, seems to be steadily gaining ground, with Greece being the next big bet, in the effort to ""grow"" even more"
https://www.naftemporiki.gr/business/1937390/o-danos-antagonistis-toy-airbnb-poy-erchetai-sto-chrimatistirio-athinon/,Ο Δανός «ανταγωνιστής» του Airbnb που έρχεται στο Χρηματιστήριο Αθηνών,2025-03-27,13:16:46,Επιχειρήσεις,"Από την έντυπη έκδοση
Γεράσιμος Χιόνης                                            •

[email protected]","«God Morgen» στην Ελλάδα και στο Χρηματιστήριο Αθηνών θέλει να πει μέσα στο επόμενο χρονικό διάστημα ο ιδρυτής και διευθύνων σύμβουλος της δανέζικης Sanders Stay, Μπο Σάντερ, ο οποίος δηλώνει έτοιμος να κάνει… απόβαση στην αγορά των βραχυχρόνιων μισθώσεων, σε μια κίνηση που έρχεται να επιβεβαιώσει την αυξημένη «όρεξη» για νέες IPOs.","Ο Σκανδιναβός επιχειρηματίας, αν και δεν διαθέτει το εκτόπισμα των «κολοσσών» του υπόλοιπου κλάδου, φαίνεται να βαδίζει σε σταθερά ανοδικό έδαφος, με τη χώρα μας να αποτελεί το επόμενο μεγάλο στοίχημα, στην προσπάθεια να «μεγαλώσει» ακόμη περισσότερο. Το εγχείρημα της Sanders Stay ξεκίνησε μόλις το 2017, έχοντας ως αφετηρία τη γενέτειρά του Μπο Σάντερ, δηλαδή τη Δανία -και συγκεκριμένα τη Κοπεγχάγη. Αφού ξεπέρασε τον σκόπελο της πανδημίας του κορωνοϊού, κατάφερε σταδιακά να κάνει τα πρώτα βήματα επέκτασης προς τη Μεσόγειο, αξιοποιώντας το «φουσκωμένο» τουριστικό ρεύμα της Ιβηρικής Χερσονήσου (Ισπανία – Πορτογαλία), αλλά και της Κύπρου. Τα επόμενα χρόνια ακολούθησε και η Ελλάδα, όπου αυτήν την στιγμή, βέβαια, διαθέτει μια μίνιμουμ παρουσία. Αυτό, όμως, αναμένεται να αλλάξει στο άμεσο μέλλον. Αξίζει να σημειωθεί ότι το επιχειρηματικό μοντέλο του Μπο Σάντερ διαφέρει από τις κλασικές και συνηθισμένες βραχυχρόνιες ενοικιάσεις τύπου Airbnb, καθώς αφενός ο έλεγχος του ακινήτου ανήκει στον ίδιο, δηλαδή στην εταιρεία του, και όχι σε μεμονωμένους ιδιοκτήτες, αφετέρου προσφέρει υπηρεσίες 4άστερων ξενοδοχείων. Το συγκεκριμένο μοντέλο, βέβαια, απαιτεί περισσότερα κεφάλαια για ανάπτυξη. Εξ ου και η επιθυμία εισαγωγής στη Λεωφόρο Αθηνών, με βασική επιδίωξη τη χρηματοδότηση της αναπτυξιακής στρατηγικής αλλά και την εξεύρεση «συμπαικτών». Γουάτσα – Μυτιληναίος: Μια σχέση αξίας 500 εκατ. ευρώ  Ο Μπο Σάντερ, σε κάθε περίπτωση, φαίνεται ότι έχει το know-how, καθώς διαθέτει αρκετή εμπειρία από τον χώρο της φιλοξενίας και των επενδύσεων. Πριν την Sanders Stay είχε ιδρύσει ακόμη δύο εταιρείες, τη Nordic Housing και τη Nordic Investment, οι οποίες ειδικεύονταν στον τομέα των ακινήτων και των επενδύσεων αντίστοιχα. Επίσης, το 2014 είχε εργαστεί ως manager στη Housing Denmark, ενώ έχει «περάσει» από αρκετές εταιρείες της χώρας του, όπως οι Renovea, Scandia Housing, Netpointers, Scandico κ.α. Μένει να δούμε, τώρα, τι ακριβώς θα καταφέρει και στην Ελλάδα. Πόλσον: Πώς «έβγαλε» 400 – 450 εκατ. ευρώ μέσα σ’ έναν μήνα  (Τα παραπάνω αποτελούν προϊόν δημοσιογραφικής έρευνας και δεν συνιστούν προτροπή για αγορά, πώληση ή διακράτηση οποιασδήποτε μετοχής) ",https://www.naftemporiki.gr/wp-content/themes/naftemporiki/images/N.PNG,Επί προσωπικού: Ο Μπο Σάντερ θέλει να βάλει τη Sanders Stay στο Χρηματιστήριο Αθηνών
https://www.naftemporiki.gr/society/1932536/thriler-me-nekro-andra-se-diamerisma-airbnb-me-koykoyla-sto-kefali-kai-demenos-cheiropodara/,Θρίλερ με νεκρό άνδρα σε διαμέρισμα Airbnb – Με κουκούλα στο κεφάλι και δεμένος χειροπόδαρα,2025-03-13,16:40:47,Κοινωνία,,"Μπροστά σε μία μακάβρια σκηνή βρέθηκε ο 52χρονος ιδιοκτήτης διαμερίσματος Airbnb, στην οδό Κολοκυνθούς, στην Ομόνοια, όταν μπήκε στο διαμέρισμα για να καθαρίσει.","Πάνω στο κρεβάτι εντόπισε νεκρό τον ενοικιαστή, που φορούσε μπουρνούζι, είχε σακούλα στο κεφάλι, και ήταν δεμένος χειροπόδαρα. Σύμφωνα με κάποιες πληροφορίες, το κρεβάτι στο διαμέρισμα ήταν στρωμένο και τακτοποιημένο. Όπως είπε ο ιδιοκτήτης, ο ξάδελφος του χτυπούσε το κουδούνι αλλά δεν άνοιγε κανείς. Σύμφωνα με τα στοιχεία που έχουν δηλωθεί, πρόκειται για 30χρονο με τα στοιχεία Τζέιμς Λούις, και επρόκειτο να αποχωρήσει σήμερα στη μία το μεσημέρι. Η αστυνομία έχει αποκλείσει το σημείο και διεξάγει έρευνα, ενώ σύμφωνα με πληροφορίες έχει διαπιστωθεί ότι υπάρχει υλικό από κάμερες. Στην πολυκατοικία υπάρχουν πολλά διαμερίσματα τα οποία ενοικιάζονται με βραχυχρόνια μίσθωση. ",https://www.naftemporiki.gr/wp-content/themes/naftemporiki/images/N.PNG,
https://www.naftemporiki.gr/finance/world/1913783/o-ceo-toy-airbnb-thelei-na-kanei-tin-efarmogi-tin-taxidiotiki-amazon/,Ο CEO του Airbnb θέλει να κάνει την εφαρμογή την «ταξιδιωτική Amazon»,2025-02-14,12:09:34,Οικονομία & Αγορές                \Διεθνή,,"Το όραμά του για την Airbnb αποκάλυψε ο διευθύνων σύμβουλος της πλατφόρμας Μπράιαν Τσέσκι, λέγοντας χαρακτηριστικά ότι επιθυμεί να την κάνει την ταξιδιωτική Amazon. Ένα ενιαίο κατάστημα δηλαδή που θα αφορά οτιδήποτε σχετίζεται με τα ταξίδια.","Μιλώντας την Πέμπτη, κατά την ανακοίνωση των αποτελεσμάτων της εταιρείας, οι επικεφαλής της Airbnb δήλωσαν ότι η εταιρεία σχεδιάζει να επενδύσει 200 ​​έως 250 εκατ. δολάρια για την έναρξη νέων επιχειρήσεων και υπηρεσιών στην εφαρμογή, από τον Μάιο. Ο Τσέσκι είπε ότι η πλατφόρμα θα «επεκταθεί πέρα ​​από τις βραχυχρόνιες μισθώσεις ακινήτων».  «Θέλουμε η εφαρμογή Airbnb να γίνει κάτι παρόμοιο με την Amazon, να είναι ένα μέρος στο οποίο επισκέπτεστε για όλες τις ανάγκες ταξιδιού και διαβίωσης», είπε χαρακτηριστικά. «Το μέρος διαμονής είναι πραγματικά ένα πολύ μικρό μέρος της συνολικής (ταξιδιωτικής) εμπειρίας». Παρομοίασε το νέο εγχείρημα της Airbnb με την Amazon, λέγοντας ότι ο κολοσσός του ηλεκτρονικού εμπορίου ξεκίνησε με βιβλία, επεκτάθηκε στην «πλησιέστερη γειτονιά», που ήταν τα DVD και τα CD, και «πολύ σύντομα έκαναν πράγματα πολύ άσχετα από τα media και τα βιβλία». Ο Τσέσκι πρόσθεσε ότι ένας από τους στόχους της εταιρείας είναι να ενισχυθεί η συχνότητα χρήσης της εφαρμογής από τους χρήστες. «Δεν έχουμε μια πολύ συχνά χρησιμοποιούμενη εφαρμογή. Οι άνθρωποι συνήθως τη χρησιμοποιούν μία ή δύο φορές το χρόνο αλλά θα ήθελα να μια μέρα να τη χρησιμοποιούν μία ή δύο φορές την εβδομάδα», αποκάλυψε. Η εταιρεία σημείωσε έσοδα ύψους 2,48 δισ. δολαρίων το τέταρτο τρίμηνο του 2024, αυξημένα κατά 12% από την ίδια περίοδο του 2023. Τα ετήσια έσοδά της το 2024 ανήλθαν στα 11,10 δισ.  δολάρια, αυξημένα κατά 12% από το 2023. ",https://www.naftemporiki.gr/wp-content/themes/naftemporiki/images/N.PNG,Η εταιρεία επενδύει 200 έως 250 εκατ. δολάρια για να «τρέξει» νέες υπηρεσίες στην εφαρμογή τον Μάιο
